Name,Symptoms,Causes,Treatments,Information,link
Melanocytic nevi,"Pigmented spots on skin; can be raised or flat","Genetic mutations;sun exposure; hormonal changes","No treatment required;surgical removal for cosmetic reasons","Melanocytic nevi also known as moles are a type of benign tumor",https://www.ncbi.nlm.nih.gov/books/NBK470451/
Melanoma,"Asymmetrical moles with irregular borders; dark color","UV exposure; genetics; weakened immune system","Surgery; chemotherapy; radiation","Melanoma is a type of skin cancer that can spread to other parts of the body",https://www.mayoclinic.org/diseases-conditions/melanoma/symptoms-causes/syc-20374884
Benign keratosis-like lesions,"Rough scaly patches on skin","Sun damage; genetics","Cryotherapy; excision","Benign keratosis-like lesions are harmless growths that can resemble skin cancer",https://en.wikipedia.org/wiki/Seborrheic_keratosis
Basal cell carcinoma,"Raised waxy bump ; flat scaly patch","UV exposure; genetics; weakened immune system","Surgery; radiation; topical medications","Basal cell carcinoma is a type of skin cancer that grows slowly and rarely spreads to other parts of the body",https://www.skincancer.org/skin-cancer-information/basal-cell-carcinoma/
Actinic keratoses,"Rough scaly patches on skin often on face scalp and hands","UV exposure; fair skin; weakened immune system","Cryotherapy; topical medications","Actinic keratoses are precancerous growths that can turn into squamous cell carcinoma if left untreated",https://www.skincancer.org/skin-cancer-information/actinic-keratosis/
Dermatofibroma,"Small firm bump on skin often on legs","Unknown","No treatment required; surgical removal for cosmetic reasons","Dermatofibroma is a benign tumor that can be mistaken for skin cancer",https://www.ncbi.nlm.nih.gov/books/NBK470538/
Vascular lesions,"Red or purple patches on skin often on face and neck","Unknown","Laser therapy; topical medications","Vascular lesions are abnormal clusters of blood vessels that can be congenital or acquired",https://lakejacksonent.com/what-are-vascular-lesions-and-how-can-they-be-treated/
Acne and Rosacea Photos,"Pimples; blackheads; redness; flushing","Hormonal changes; bacteria; genetics","Topical medications; oral medications","Acne and Rosacea are common skin conditions that can be treated with medications and lifestyle changes",https://medlineplus.gov/rosacea.html
Eczema Photos,"Red itchy scaly patches on skin","Genetics; allergies; weakened immune system","Topical medications; lifestyle changes","Eczema is a chronic skin condition that can be managed with medications and lifestyle changes",https://nationaleczema.org/eczema/
Healthy," "," "," ","Daily Hygeine to maintain your health"," "
